Player,Team,Tactical,Saves,Anticipation,Ball Distribution,Aerial
Anas Zniti,Raja Club Athletic,39,57,41,59,52
El Mehdi Benabid,AS FAR Rabat,34,51,33,55,54
Amine El Ouaad,RS Berkane,27,47,29,47,57
Abderhmane El Houasli,Union Touarga Sport,45,50,54,45,45
Khalid Kbiri Alaoui,Olympic Safi,11,58,11,43,65
Youssef El Motie,Wydad Casablanca,30,46,36,49,58
Aymane Majid,Fath Union Sport,24,51,32,47,62
Yahia El Filali,Moghreb Tétouan,21,53,27,47,51
Mehdi El Jourbaoui,Hassania d'Agadir,19,50,26,45,49
Salaheddine Chihab,MAS de Fès,11,45,11,47,50
Gaya Merbah,Ittihad Tanger,11,50,11,44,54
Hicham El Allouch,Jeunesse Sportive Soualem,11,52,11,48,43
Soufiane Barrouhou,SC Chabab Mohammédia,11,42,11,46,46
Ziad Laafsa,MC Oujda,13,46,21,49,66
Achraf Hilali,CA Youssoufia Berrechid,43,56,57,55,45
